index,userId,data,date,type,currentView,item
3583,5f908c63832d32168d6d8f31,unsuccessful,2021-01-06T00:49:37.135Z,RUN_DONE,RepeatL2PlaceRow,Repeat
1756,5f908c63832d32168d6d8f31,unsuccessful,2021-01-06T00:49:44.357Z,RUN_DONE,RepeatL2PlaceRow,Repeat
2117,5f908c63832d32168d6d8f31,unsuccessful,2021-01-06T00:49:56.253Z,RUN_DONE,RepeatL2PlaceRow,Repeat
357,5f908c63832d32168d6d8f31,unsuccessful,2021-01-06T00:50:02.365Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4812,5f908c63832d32168d6d8f31,unsuccessful,2021-01-06T00:51:31.016Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6566,5fe7673ee14422582703e754,successful,2021-01-06T01:10:53.260Z,RUN_DONE,ModifyMoves,ModifyMoves
6693,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:11:31.624Z,RUN_DONE,CommandsMLMR,Basic Commands
1286,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:11:43.101Z,RUN_DONE,CommandsMLMR,Basic Commands
4502,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:11:50.412Z,RUN_DONE,CommandsMLMR,Basic Commands
1722,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:11:58.860Z,RUN_DONE,CommandsMLMR,Basic Commands
3908,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:12:13.691Z,RUN_DONE,CommandsMLMR,Basic Commands
4802,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:12:29.365Z,RUN_DONE,CommandsMLMR,Basic Commands
3804,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:13:14.438Z,RUN_DONE,CommandsMLMR,Basic Commands
1470,5fe7673ee14422582703e754,successful,2021-01-06T01:13:35.098Z,RUN_DONE,CommandsMLMR,Basic Commands
3526,5fe7673ee14422582703e754,successful,2021-01-06T01:15:05.606Z,RUN_DONE,MethodsStepUp,Function
4605,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:16:09.478Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6500,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:16:28.446Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4564,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:16:42.752Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6722,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:17:20.623Z,RUN_DONE,RepeatL2PlaceRow,Repeat
1115,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:17:35.689Z,RUN_DONE,RepeatL2PlaceRow,Repeat
2174,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:18:09.690Z,RUN_DONE,RepeatL2PlaceRow,Repeat
693,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:18:22.016Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6526,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:18:40.650Z,RUN_DONE,RepeatL2PlaceRow,Repeat
5636,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:19:02.814Z,RUN_DONE,RepeatL2PlaceRow,Repeat
3612,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:19:23.030Z,RUN_DONE,RepeatL2PlaceRow,Repeat
1719,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:20:38.175Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4490,5fe7673ee14422582703e754,successful,2021-01-06T01:21:08.145Z,RUN_DONE,RepeatL2PlaceRow,Repeat
2612,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:24:41.012Z,RUN_DONE,RepeatL3Corner9,Combine
345,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:24:52.994Z,RUN_DONE,RepeatL3Corner9,Combine
545,5fe7673ee14422582703e754,unsuccessful,2021-01-06T01:28:42.458Z,RUN_DONE,RepeatL3Corner9,Combine
3400,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:43:30.380Z,RUN_DONE,ModifyMoves,ModifyMoves
5937,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:44:58.731Z,RUN_DONE,CommandsMLMR,Basic Commands
3550,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:46:18.325Z,RUN_DONE,MethodsStepUp,Function
